,chi2,p_value,dof,odds_ratio,unique_count
ENSG00000136213,67.45537737225717,1.3708302958203203e-10,10,,11
ENSG00000226367,62.67173022095509,1.390524946451934e-10,8,,9
ENSG00000137185,62.61834275951455,1.4246161008166478e-10,8,,9
ENSG00000224429,62.591973244147155,1.4417606668067886e-10,8,,9
ENSG00000135250,230.50120772946852,1.518377970750463e-10,110,,111
ENSG00000179163,118.92731664470793,1.5715126930995468e-10,37,,38
ENSG00000128284,99.44458822176213,1.587421851487065e-10,26,,27
ENSG00000211973,89.97816796729842,1.6278981635545022e-10,21,,22
ENSG00000186594,143.5347100564492,1.662258365431266e-10,52,,53
ENSG00000162642,178.97507685551165,1.7559750254784845e-10,75,,76
ENSG00000178977,71.34032393491668,1.7965194745761458e-10,12,,13
ENSG00000231725,172.55082528180355,1.972640119295718e-10,71,,72
ENSG00000204381,61.88942081305917,1.982577123190736e-10,8,,9
ENSG00000142867,98.76556055959911,2.0574294230518827e-10,26,,27
ENSG00000163519,158.56280193236708,2.0963838144853393e-10,62,,63
ENSG00000227057,196.16696859903382,2.1067396202224494e-10,87,,88
ENSG00000130311,172.28931093061527,2.1356186404799964e-10,71,,72
ENSG00000114503,124.78957978118785,2.1539008652354438e-10,41,,42
ENSG00000027869,139.52715234644577,2.1622281887832443e-10,50,,51
ENSG00000102763,198.89190821256034,2.2322055222735156e-10,89,,90
ENSG00000177889,203.2518115942029,2.239212005807559e-10,92,,93
ENSG00000108591,171.9150060386473,2.392277695489119e-10,71,,72
ENSG00000211721,77.01853483171418,2.4400899998102144e-10,15,,16
ENSG00000249115,94.6032340972371,2.4616114925221995e-10,24,,25
ENSG00000214706,121.02491758062412,2.4845951595165056e-10,39,,40
ENSG00000255028,257.7506038647343,2.6435522247680035e-10,131,,132
ENSG00000142632,94.3833711106532,2.679992789925205e-10,24,,25
