,chi2,p_value,odds_ratio,chi_p_value,mi_score,hybrid_score
ENSG00000205922,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000257838,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000253945,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000229462,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000183405,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000221988,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000236801,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000165912,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000245205,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000197472,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000224481,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000183691,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000223759,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
